Name,Description
000,"train reaches the station in downtown in a rainy night, and people moving in and out"
001,preparing hamburger starting with grilling patties with cheese on them then roasting buns
002,"an person making tea, starting with putting the teabag in the cup then add coffee mate and hot water"
003,water coloring added to seven glasses resting on a table with a checkered cloth in the background
004,playing pinball as first person point of view
005,colored campfire
006,cars come and go across a bridge over the Bow River on an overcast day.
007,two geese sitting on edge of a building then start flying
008,first a road full of cars then camera view is changed rapidly to a plane and follows it for a while then changes back to the road again
009,people playing jenga
010,an intersection with cars and people and train in a rainy day
011,two bears playing with each other
012,adding RGB colors to water glasses with colorful lights relfecting and fusing together
013,recording from car: snowy and empty roads and shops
014,driving a car in the night
015,taking chicken skewers out of the grill
016,train leaving a station in the rain
017,airplane landing
018,camera dolly through a building
019,placing a gyroscope spinning until it falls
020,CMY cube in changing RGB lighting
021,shuffeling a deck of cards
022,cars passing behind trees in the rain
023,cars waiting at traffic light then passing by
024,people walking 
025,colored strips swaying in the wind
026,camera trucking over the sidewalk
027,people mingling and dancing at graduation party 
028,people sitting on stadium bleachers
029,waterfall
